org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1996-08-14,DESARROLLADOS ZAMBRANO EDER Y CIA. S. C. A.,NIT,805004646,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,,,,MEDIANA,VALLE DEL CAUCA,CALI,AV 5 A # 21 NORTE - ,umenga@mengae.com,DORIS  EDER DE ZAMBRANO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1980-06-01,CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES S A,NIT,890925336,Actividades de hospitales y clínicas con internación,Actividades inmobiliarias realizadas con bienes propios o arrendados,Actividades de la práctica médica sin internación,,GRANDE,ANTIOQUIA,MEDELLIN,CARRERA 65 NUMERO 34,contador@clinicaconquistadores.com,JUAN CAMILO BASTIDAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2006-02-02,RITCOS CONSTRUCCION & CONSULTORIA S.A.S.,NIT,900067846,Construcción de otras obras de ingeniería civil,Construcción de proyectos de servicio público,Construcción de edificios no residenciales,,GRANDE,BOLIVAR,CARTAGENA,CENTRO CLL SAN AGUST,ritcosconstruccionesc@hotmail.com,EDILBERTO JOSE PICO ORTEGA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-07-30,ATXK CONSTRUCCION DE INTERIORES SUCURSAL COLOMBIA,NIT,900755688,Terminación y acabado de edificios y obras de ingeniería civil,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,,,GRANDE,BOGOTA,BOGOTA D.C.,CR 13 93 68 OFIC 205,contabilidad.colombia@atxk.com,ALEJANDRO  LOPEZ MALO TABOADA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2010-07-14,PRANO INGENIERIA SAS,NIT,900369368,Construcción de otras obras de ingeniería civil,Construcción de carreteras y vías de ferrocarril,Construcción de edificios no residenciales,Construcción de edificios residenciales,MEDIANA,BOGOTA,BOGOTA D.C.,Avenida Calle 24 # 5,administrativo@pranoingenieria.com,CARLOS ADOLFO REYES RAMIREZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2012-07-31,G8 PROYECTOS ENERGETICOS S A S E S P,NIT,900542835,Producción de gas distribución de combustibles gaseosos por tuberías,Construcción de otras obras de ingeniería civil,Transporte de carga por carretera,,MEDIANA,BOGOTA,BOGOTA D.C.,CALLE 78 A # 99 B - ,finanzas@g8esp.com,ALBERTO ENRIQUE ALFARO ARIAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-11-24,SIMETRIK S.A.S,NIT,901030030,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Portales web,,,MEDIANA,BOGOTA,BOGOTA D.C.,CL 91  11  29 P 6,contacto@simetrik.com,ALEJANDRO  CASAS CARO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-02-17,ART TV DIRECCION DE ARTE S A S,NIT,900702242,Actividades teatrales,Creación musical,Actividades de arquitectura,Otras actividades de espectáculos en vivo n.c.p.,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 17 A NO 116 ,arttvsas@gmail.com,JORGE LUIS GARCIA HERNANDEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1995-08-31,COMPAÑÍA DE URBANISMO CONSTRUCCIONES E INGENIERIA LIMITADA Y PODRA UTILIZAR LA SIGLA COMERCIAL URBANISCOM LIMITADA.,NIT,830008233,Construcción de edificios no residenciales,Construcción de otras obras de ingeniería civil,Construcción de edificios residenciales,Actividades de ingeniería y otras actividades conexas de consultoría técnica,GRANDE,BOGOTA,BOGOTA D.C.,CRA 7 NO -127 - 48 O,urbaniscom@yahoo.com,WILLIAM CASTILLO PINILLA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2007-06-14,JUAN D. HOYOS DISTRIBUCIONES S.A.S.,NIT,811006789,Comercio al por mayor de productos alimenticios,Comercio al por mayor de otros utensilios domésticos n.c.p.,Comercio al por mayor de aparatos y equipo de uso doméstico,Comercio al por menor de carnes (incluye aves de corral) productos cárnicos pescados y productos de mar en establecimientos especializados,GRANDE,ANTIOQUIA,ITAGUI,CR 42 NRO. 54A 155 I,contabilidad@jdh.com.co,HOYOS OCHOA JUAN DAVID
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1983-10-18,ESCAF NADER Y COMPANIA SAS,NIT,890113238,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,MEDIANA,ATLANTICO,BARRANQUILLA,CR 58 No 85 - 162,firmajosealbertoescag@gmail.com,Escaf Nader Johanna
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2021-02-17,ONTOP DIGITAL COLOMBIA S.A.S,NIT,901456887,Otras actividades de tecnologías de información y actividades de servicios informáticos,Actividades de consultoría de gestión,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),,MEDIANA,BOGOTA,BOGOTA D.C.,Avenida Carrera 9 13,accounting@getontop.com,ABELLA ALVAREZ JAIME RAFAEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2007-10-18,AGROCARBONES S A S,NIT,900181417,Extracción de hulla (carbón de piedra),Explotación mixta (agrícola y pecuaria),Comercio al por mayor de combustibles sólidos líquidos gaseosos y productos conexos,,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 4 N0 70 - 68,jomaca1co@yahoo.com,JOSE MANUEL CAMACHO BAPTISTE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-08-14,VISA COLOMBIA SUPPORT SERVICES SOCIEDAD ANONIMA,NIT,900878539,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CALLE 81 # 11 08 PIS,notificacionesvcss@visa.com,
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2004-12-22,INVERSIONES MANUELITA S A,NIT,830511290,Otras actividades relacionadas con el mercado de valores,Otras actividades profesionales científicas y técnicas n.c.p.,Otras actividades de servicio de apoyo a las empresas n.c.p.,,GRANDE,VALLE DEL CAUCA,PALMIRA,KM 7 VIA PALMIRA EL ,notificacionescorporativo@manuelita.com,EDER GARCES HAROLD ENRIQUE RAFAEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-07-13,DISLICORES SAN JUAN DE PASTO SAS,NIT,900868181,Comercio al por mayor de bebidas y tabaco,Actividades inmobiliarias realizadas con bienes propios o arrendados,Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas (alcohólicas y no alcohólicas) o tabaco,,MEDIANA,NARIÑO,PASTO,CARRERA 7 NO. 20 - 2,contabilidaddislicores@hotmail.com,DAVILA CABRERA ALICIA DEL SOCORRO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-01-15,GUANABARA DESARROLLOS INMOBILIARIOS SAS ,NIT,901244662,Construcción de otras obras de ingeniería civil,,,,GRANDE,BOGOTA,BOGOTA D.C.,CR 9  # 80-45 OFIC 1,contabilidad@ingenal.com.co,ALBERTO MARIO NIEVES CABALLERO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2008-09-17,PSPORT SYSTEMS S.A.S.,NIT,900241305,Construcción de otras obras de ingeniería civil,Comercio al por mayor de otros productos n.c.p.,Gestión de instalaciones deportivas,Actividades de paisajismo y servicios de mantenimiento conexos,MEDIANA,ANTIOQUIA,MEDELLIN,CARRERA 43 F 19  46,pedro.daniel@psportsystems.com,PEDRO DANIEL SARMIENTO LOPEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2006-05-17,XYLEM WATER SOLUTIONS COLOMBIA S.A.S,NIT,900084822,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.,,MEDIANA,BOGOTA,BOGOTA D.C.,CRA 85 D NO. 46A 65 ,carlos.narvaez@xylem.com,MIGUEL ANTONIO OTÁROLA BAWDEN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2012-02-09,INDUSTRIA COLOMBIANA DE MANTENIMIENTO Y MAQUINARIA SAS,NIT,900497662,Fabricación de cojinetes engranajes trenes de engranajes y piezas de transmisión,Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.,Fabricación de otros tipos de equipo de transporte n.c.p.,,MEDIANA,BOGOTA,BOGOTA D.C.,CLL 11 A N° 38-76,incolmat@hotmail.com,LUIS HERNANDO SUAREZ SUAREZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1985-02-20,CREDIMAPFRE S.A.S,NIT,860524337,Instituciones especiales oficiales,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR 14 NO. 96 - 34,njuduciales@mapfre.com.co,PABLO ANDRES JACKSON ALVARADO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-03-19,ECOLSIERRA EXPORT S.A.S BIC,NIT,900713955,Actividades posteriores a la cosecha,Elaboración de otros productos alimenticios n.c.p.,,,MEDIANA,MAGDALENA,SANTA MARTA,KM 3 VIA GAIRA SECTO,gerencia@redecolsierra.org,CORDERO ARDILA VICTOR ENRIQUE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1998-02-17,CONSULTORIA Y CONSTRUCCION S.A.S.,NIT,830041411,Terminación y acabado de edificios y obras de ingeniería civil,Construcción de carreteras y vías de ferrocarril,Construcción de proyectos de servicio público,,GRANDE,BOGOTA,BOGOTA D.C.,AV CRA 7 No.127 - 48,contabilidad@conycon.com.co,JUAN PABLO RICCI RUIZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-01-16,ARQUITECTOS INGENIEROS CONTRATISTAS GRUP S A S,NIT,901145989,Construcción de otras obras de ingeniería civil,Transporte de carga por carretera,Construcción de proyectos de servicio público,Extracción de piedra arena arcillas comunes yeso y anhidrita,MEDIANA,CUNDINAMARCA,CAJICA,CL 1A NO. 7A ESTE 62,arincogrup@gmail.com,LUIS ARMANDO SALAMANCA PARRA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1999-02-03,DISEÑOS Y CONSTRUCCIONES DE COLOMBIA S.A.S.,NIT,806006017,Construcción de proyectos de servicio público,Actividades de consultoría de gestión,Construcción de carreteras y vías de ferrocarril,Construcción de otras obras de ingeniería civil,MEDIANA,BOLIVAR,CARTAGENA,BRUSELAS TRANSV 40 N,contabilidad@discolsas.com,MANUEL  SABALZA HERRERA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2019-06-10,MBLS TRUCKS DE COLOMBIA S.A.S,NIT,900393052,Transporte de carga por carretera,,,,MEDIANA,BOYACA,DUITAMA,KM 1 VIA DUITAMA PAI,contabilidad@mbls.com.co,GALINDO SANDOVAL MAURICIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2013-07-17,FINDASENSE COLOMBIA SAS,NIT,900635943,Publicidad,Actividades de consultoría de gestión,,,MEDIANA,BOGOTA,BOGOTA D.C.,TV 22 # 98 82 P 11,office.co@findasense.com,RAFAEL TAMAMES FERNANDEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2018-01-03,INVERSIONES DURAN & VESGA SAS,NIT,901143071,Otras actividades de distribución de fondos,,,,MEDIANA,SANTANDER,BUCARAMANGA,CARRERA 23 # 36 - 16,sonriru@gmail.com,DURAN VESGA IRINA MARIA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1972-04-05,TELEFERICO A MONSERRATE S A,NIT,860010614,Transporte férreo de pasajeros,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR  2 ESTE # 21-  48,ciateleferico@monserrate.co,HECTOR MAURICIO ACUÑA VASQUEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2012-04-12,CONTENIDOS EL REY SAS,NIT,900515542,Actividades de consultoría de gestión,Publicidad,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR 7 NO. 67 28 OF 20,daniel@contenidoselrey.com,ALVARO GERMAN BARRIGA GONZALEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-12-21,INMOBILIARIA MORATO S A S,NIT,901141086,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CL 67 NO. 7 - 35 OF ,marco.castillo@indumotora.cl,SEBASTIAN RUSSI DEL RIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2014-01-10,AVAL RED S.A.S.,NIT,900710267,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,Otras actividades de servicio financiero excepto las de seguros y pensiones n.c.p.,,,GRANDE,ANTIOQUIA,ENVIGADO,CR 48 N° 26 SUR 181 ,contabilidad@avalred.net,VILLEGAS MOLINA EMILIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1998-03-05,MAGIN COMUNICACIONES S A S,NIT,830042365,Organización de convenciones y eventos comerciales,Actividades de las agencias de viaje,Publicidad,Otras actividades de espectáculos en vivo n.c.p.,GRANDE,BOGOTA,BOGOTA D.C.,CR 47 A # 101 A 38,contabilidad@magincomunicaciones.com,MARIA ISABEL GRISALES TAMAYO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-04-25,EMPRESA DE SERVICIOS DE CONSULTORIA S A S,NIT,901074431,Actividades de consultoría de gestión,Actividades de ingeniería y otras actividades conexas de consultoría técnica,Otras actividades profesionales científicas y técnicas n.c.p.,Alquiler y arrendamiento de vehículos automotores,MEDIANA,BOGOTA,BOGOTA D.C.,AV CALLE 28 NO 20 - ,gerencia@esercon.com.co,PEDRO ANTONIO LOPEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2010-11-30,ATOS IT SOLUTIONS AND SERVICES S A S,NIT,900399437,Otras actividades de tecnologías de información y actividades de servicios informáticos,Actividades de consultoría informática y actividades de administración de instalaciones informáticas,,,GRANDE,BOGOTA,BOGOTA D.C.,CR 45 # 108 - 27 TO ,adriana.salazar@atos.net,NELSON DE LORENZI CAMPELO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1994-01-24,ALIMENTOS NUTRIÓN S.A.S,NIT,800217379,Elaboración de alimentos preparados para animales,Comercio al por mayor de productos alimenticios,Comercio al por mayor de materias primas agropecuarias animales vivos,Comercio al por mayor de desperdicios desechos y chatarra,MEDIANA,BOGOTA,BOGOTA D.C.,CRA 60 NO. 17-89,contabilidad@nutrion.com.co,LORENZO  GARCIA VARGAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-07-06,CONVIASA SAS,NIT,900986468,Construcción de carreteras y vías de ferrocarril,Construcción de otras obras de ingeniería civil,,,GRANDE,BOGOTA,BOGOTA D.C.,Av. Cra 45 N* 103-40,alejandroangel6@gmail.com,JORGE ALBERTO GONGORA MASMELA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1993-08-25,ACTSIS LTDA ACTUALIZACIONES DE SISTEMAS LTDA,NIT,800204634,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Edición de programas de informática (software),Actividades de consultoría informática y actividades de administración de instalaciones informáticas,,MEDIANA,SANTANDER,BUCARAMANGA,CRA. 38 NO. 42-38,actsis@actsis.com,LEON NAVAS JESUS000000 13833061 100000000005500000550000000000000000000000000000
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2008-01-09,SUBSANAR SALUD IPS S.A.S.,NIT,900194140,Actividades de la práctica médica sin internación,,,,MEDIANA,MAGDALENA,SANTA MARTA,CALLE 14 16D 49 AV D,subsanarsaludips@hotmail.com,GALINDO VARGAS DANIEL EDUARDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1972-03-23,MCGRAW HILL INTERAMERICANA S.A.,NIT,860032724,Edición de libros,Otras actividades de servicio de apoyo a las empresas n.c.p.,Otros tipos de comercio al por menor no realizado en establecimientos puestos de venta o mercados,,GRANDE,BOGOTA,BOGOTA D.C.,CR 85 K NO. 46 A 66 ,marisol.pena@mheducation.com,MUHAMMAD ALI JAMAL 
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2013-09-06,JARDIN EXOTICS S.A.S.,NIT,900653229,Comercio al por mayor de productos alimenticios,Actividades de apoyo a la agricultura,,,GRANDE,ANTIOQUIA,JARDIN,KM 3 VIA JARDÍN RIOS,jagudelo@jardinexotics.com.co,PEDRO PABLO DIAZ PEREZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1993-01-26,OPTICA COLSANITAS S A S,NIT,800185773,Comercio al por menor de otros productos nuevos en establecimientos especializados,Actividades de apoyo diagnóstico,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR 14 95 69,impuestososi@colsanitas.com,DAVID ALEJANDRO CABAL CRUZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1997-01-22,AGROSIGO S.A.S.,NIT,811008049,Cría de ganado porcino,Cultivo de frutas tropicales y subtropicales,Actividades inmobiliarias realizadas con bienes propios o arrendados,Actividades de administración empresarial,MEDIANA,ANTIOQUIA,SABANETA,CR 47 F 81 SUR 15,notificaciones@inversionesferbienes.com.co,SIERRA GIRALDO RUBEN DARIO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2020-03-04,AVINORT LRM S.A.S.,NIT,901375718,Cría de aves de corral,Comercio al por menor de carnes (incluye aves de corral) productos cárnicos pescados y productos de mar en establecimientos especializados,Comercio al por menor de leche productos lácteos y huevos en establecimientos especializados,Transporte de carga por carretera,MEDIANA,NORTE DE SANTANDER,CUCUTA,AV 4   7  67 BRR EL ,avicolaavinort@hotmail.com,MOGOLLON CHAPARRO LUIS ROBERTO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1992-01-15,ALMACEN INSUAGRO LIMITADA,NIT,800153144,Comercio al por mayor de productos químicos básicos cauchos y plásticos en formas primarias y productos químicos de uso agropecuario,Comercio al por mayor de maquinaria y equipo agropecuarios,Actividades veterinarias,Comercio al por mayor de productos farmacéuticos medicinales cosméticos y de tocador,MEDIANA,CAQUETA,FLORENCIA,CL 16 8 46 BRR 7 DE ,harango@insuagro.com,ARANGO PAEZ HENRY
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2011-07-07,DATALYTICS COLOMBIA S.A.S.,NIT,900449234,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Otras actividades de tecnologías de información y actividades de servicios informáticos,,MEDIANA,ANTIOQUIA,MEDELLIN,CALLE 8 B 65  191 OF,juandavid.escobar@datalytics.com,JUAN DAVID ESCOBAR GONZALEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-04-27,C.I. GOLDEN PLATINO COLOMBIA S.A.S.,NIT,900843210,Comercio al por mayor de metales y productos metalíferos,Comercio al por mayor no especializado,Actividades de administración empresarial,Actividades de consultoría de gestión,MEDIANA,ANTIOQUIA,MEDELLIN,CARRERA 80 A 32 EE 7,cont@goldenplatinocolombia.com,JOHNY ARMANDO JARAMILLO MONTOYA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2007-04-09,EMOCION VISUAL S.A.S.,NIT,900143206,Publicidad,,,,MEDIANA,ATLANTICO,BARRANQUILLA,CR 57 No 79 - 118 AP,rbarrios@emocionvisual.com,Abuchaibe Pizano Demetrio
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2009-10-19,TRANSPORTES Y SERVICIOS NACIONALES S.A.S,NIT,900318604,Transporte de carga por carretera,Transporte de pasajeros,Alquiler y arrendamiento de vehículos automotores,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,MEDIANA,CASANARE,YOPAL,KILOMETRO 7 VIA MORI,johana.rincon@tsnsas.com,RINCON GAITAN NINI JOHANA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2009-02-17,INVERSIONES AZALUD S.A.S.,NIT,900267064,Actividades de hospitales y clínicas con internación,,,,GRANDE,MAGDALENA,SANTA MARTA,CR 19 NO 28 C - 25,contabilidad@clinicabahia.com,PARDO MOLINA VANESSA ISABEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1998-02-26,COMPAÑIA NACIONAL DE MINERALES S.A.S.,NIT,832002334,Fabricación de otros productos minerales no metálicos n.c.p.,Transporte de carga por carretera,Terminación y acabado de edificios y obras de ingeniería civil,,MEDIANA,CUNDINAMARCA,SIBATE,KR 20 NO 45-01 COSTA,atencionalcliente@conalmin.com.co,LUIS ORLANDO TOVAR SOLER
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,1986-03-20,EMPAQUES DE COLOMBIA EMPACANDO S.A.S,NIT,860530492,Actividades de envase y empaque,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CR 42 NO. 20B-58,facturacion@empacando.com,MARTHA LUCIA CORREA GONZALEZ
