org_juridica,categoria,fecha_matricula,razon_social,tipo_identificacion,numero_identificacion,actividad_economica,actividad_economica2,actividad_economica3,actividad_economica4,desc_tamano_empresa,departamento,municipio,direccion_comercial,correo_comercial,rep_legal
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-03-10,DHI COLOMBIA MEDICAL GROUP S A S,NIT,900948643,Otras actividades de atención de la salud humana,Comercio al por menor de productos farmacéuticos y medicinales cosméticos y artículos de tocador en establecimientos especializados,,,MEDIANA,BOGOTA,BOGOTA D.C.,CALLE 127  14  54   ,michelcavard@gmail.com,MICHEL  CAVARD MARTINEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-11-09,GRUPO EMPRESARIAL DEL VALLE ARC SAS,NIT,901130583,Actividades de administración empresarial,Mantenimiento y reparación de computadores y de equipo periférico,Mantenimiento y reparación de equipos de comunicación,Otras actividades complementarias al transporte,MEDIANA,VALLE DEL CAUCA,YUMBO,KR 37 # 10 - 197 PAR,grupoempresarialarc96@hotmail.com,ALONSO ANTONIO RESTREPO CUELLAR
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-11-23,C.I. GRUPO EXPORTADOR S.A.S,NIT,901134590,Comercio al por mayor de metales y productos metalíferos,Actividades de apoyo para otras actividades de explotación de minas y canteras,,,GRANDE,VALLE DEL CAUCA,CALI,CR 100 11 - 60 OF 30,info@cigrupoexportador.com.co,MAILYN YOLAINE MARQUEZ LOPEZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-11-24,PROMOCION INMOBILIARIA E INGENIERIA S.A.S,NIT,900912120,Construcción de edificios residenciales,Construcción de edificios no residenciales,Construcción de carreteras y vías de ferrocarril,Actividades inmobiliarias realizadas con bienes propios o arrendados,MEDIANA,CALDAS,MANIZALES,CRA 2 J NRO. 31 -116,administracion@proinge.com.co,SOGAMOSO CARDONA PEDRO FELIPE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-04-04,BE MOVIL S.A.S.,NIT,900737989,Otras actividades de telecomunicaciones,,,,GRANDE,RISARALDA,PEREIRA,CARRERA 8 NRO. 23 09,gerencia@bemovil.net,FERNANDEZ GONZALEZ JULIAN ANDRES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-10-09,VECTOR FOODS S.A.S.,NIT,900842621,Elaboración de otros productos alimenticios n.c.p.,Comercio al por mayor de productos alimenticios,,,MEDIANA,ANTIOQUIA,ITAGUI,CL 73A NO 45A 39,admin@monterojo.co,BETANCUR CALLE JOSE RICARDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-02-26,COSTEÑO BEACH S.A.S.,NIT,900824157,Alojamiento en hoteles,Otros tipos de alojamiento para visitantes,Actividades de espectáculos musicales en vivo,,MEDIANA,MAGDALENA,SANTA MARTA,FCA KEYS BEACH VIA R,adm.costenobeach@gmail.com,REA BRIAN PATRICK
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-05-21,MIOMED S A S,NIT,900973064,Otras actividades de atención de la salud humana,Actividades de apoyo diagnóstico,Actividades de apoyo terapéutico,,MEDIANA,BOGOTA,BOGOTA D.C.,CL 185 45 03 OF 610,gerencia@laboratoriosmiomed.com,MAUREEN ISABEL QUINTERO GAMBOA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-11-29,CLINICA DE LA MUJER CARTAGENA SOCIEDAD POR ACCIONES SIMPLIFICADA,NIT,901031682,Actividades de hospitales y clínicas con internación,,,,MEDIANA,BOLIVAR,CARTAGENA,CALLE 30 AV. PEDRO D,clinicadelamujerctg@clinicadelamujerctg.com,JOSE FELIPE BALLESTAS CAMPO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-10-12,COMERCIAL DE CARNES J&J SAS,NIT,901123154,Comercio al por mayor de productos alimenticios,Comercio al por menor de carnes (incluye aves de corral) productos cárnicos pescados y productos de mar en establecimientos especializados,Procesamiento y conservación de carne y productos cárnicos,,MEDIANA,ANTIOQUIA,MEDELLIN,CALLE 68  50  21,carnespurocerdo@gmail.com,JHORMAN STIV MARULANDA USUGA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-09-26,COCOROLLO EL LIMONAR S.A.S.,NIT,901118257,Elaboración de comidas y platos preparados,Expendio a la mesa de comidas preparadas,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,,MEDIANA,ANTIOQUIA,GIRARDOTA,VDA PORTACHUELO AUT ,santiagomontoya@cocorollo.com contabilidad@cocorollo.com,SANTIAGO  MONTOYA PINEDA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-10-15,EXTRACTORA CIMARRON SAS,NIT,900899183,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,Extracción de aceites de origen vegetal crudos,,,MEDIANA,BOGOTA,BOGOTA D.C.,Carrera 13 No. 92-57,extractoracimarronsas@prestigecol.com,OLE MARTIN SIEM SIEM
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-08-05,CUATRECASAS GONÇALVES PEREIRA S.A.S.,NIT,901001234,Actividades jurídicas,Actividades de consultoría de gestión,,,GRANDE,BOGOTA,BOGOTA D.C.,CR 11 N ° 79- 35 OF ,bogota@cuatrecasas.com,ANTONIO BAENA BARDINA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-09-28,MALLPLAZA SERVICIOS S A S,NIT,901120943,Actividades inmobiliarias realizadas con bienes propios o arrendados,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,,,MEDIANA,BOGOTA,BOGOTA D.C.,Avenida Calle 19 # 2,notificacioncolombia@mallplaza.com,MAURICIO MENDOZA JENKIN
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-08-04,FERROCARRIL AVINTIA GRUPO INMOBILIARIO SAS EN LIQUIDACION JUDICIAL,NIT,900881157,Construcción de edificios residenciales,,,,MEDIANA,RISARALDA,DOS QUEBRADAS,TRANSVERSAL 21 25F -,alonsoacuna1@gmail.com,
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-05-06,AGROPECUARIA LA SANGRE LLAMA S.A.,NIT,802022147,Cría de ganado bovino y bufalino,Comercio al por mayor de materias primas agropecuarias animales vivos,Actividades inmobiliarias realizadas con bienes propios o arrendados,,MEDIANA,SANTANDER,BUCARAMANGA,CALLE 34 # 24 - 70 O,ednnamaribeth.65@hotmail.com,RUEDA POLANIA EDNNA MARIBETH
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-02-04,RRM INGENIERIA Y CONSTRUCCION SAS,NIT,900816025,Construcción de otras obras de ingeniería civil,,,,MEDIANA,VALLE DEL CAUCA,CALI,CL 10 # 36 - 09,claudia.cespedes@rrmingenieria.com,RICHARD  RIVERA MERCADO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-03-25,CONCESION PACIFICO TRES S.A.S.,NIT,900763357,Construcción de carreteras y vías de ferrocarril,,,,GRANDE,CALDAS,MANIZALES,CALLE 77  21-43,notificacionesjudiciales@pacificotres.com,PEREZ BUITRAGO SANTIAGO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-08-17,COMERCIALIZADORA MARITIMA Y FLUVIAL EL CARIBE S.A.S.,NIT,901000756,Transporte de pasajeros marítimo y de cabotaje,Actividades de operadores turísticos,,,MEDIANA,ANTIOQUIA,NECOCLI,CL 46  43-44,maritimayfluvialelcaribe@gmail.com,BUSTAMANTE RUIZ MARIO ANDRES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-11-11,RENAL MEDICAL MARKETING LIMITADA,NIT,800182918,Fabricación de productos farmacéuticos sustancias químicas medicinales y productos botánicos de uso farmacéutico,Fabricación de instrumentos aparatos y materiales médicos y odontológicos (incluido mobiliario),,,MEDIANA,CUNDINAMARCA,FUNZA,AUT MEDELLIN KM 7.8 ,gerenciageneral@renal-medical.com,ANNEAR CAMACHO LUIS CAMACHO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-12-29,RUIZ FAJARDO INGENIEROS ASOCIADOS S.A.S,NIT,813006150,Fabricación de productos metálicos para uso estructural,Actividades de ingeniería y otras actividades conexas de consultoría técnica,Transporte de carga por carretera,,MEDIANA,BOGOTA,BOGOTA D.C.,CALLE 104 NO. 14A-45,info@ruizfajardo.com,TULIO JOSE RUIZ RAMIREZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-09-28,CIS INGENIEROS Y CONSULTORES S.A.S,NIT,900894762,Construcción de carreteras y vías de ferrocarril,Actividades de arquitectura,Construcción de otras obras de ingeniería civil,Alquiler y arrendamiento de otros tipos de maquinaria equipo y bienes tangibles n.c.p.,MEDIANA,GUAJIRA,BARRANCAS,CL 11 NO. 11-09,gerencia@cisingenieros.com.co,QUINTERO LOPEZ JEISVERT JOSE
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-12-07,INDUSTRIAS VEGA NATIPAN S.A.S.,NIT,900916161,Elaboración de productos de panadería,Fabricación de formas básicas de plástico,Comercio al por mayor de desperdicios desechos y chatarra,,MEDIANA,ANTIOQUIA,BELLO,CALLE 33  NO. 56  11,panaderianatipan@une.net.co contabilidad@natipan.com.co,GERARDO DE LA CRUZ JARAMILLO JARAMILLO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-03-16,QVANTEL COLOMBIA S.A.S.,NIT,901064008,Actividades de desarrollo de sistemas informáticos (planificación análisis diseño programación pruebas),Actividades de consultoría informática y actividades de administración de instalaciones informáticas,Procesamiento de datos alojamiento (hosting) y actividades relacionadas,Otras actividades de tecnologías de información y actividades de servicios informáticos,MEDIANA,BOGOTA,BOGOTA D.C.,Avenida Cra. 19 No. ,alafaurie@pmlabogados.co,ANTONIO JOSE LAFAURIE SCORZA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-06-22,SUPER CERDO EL FORTIN S.A.S.,NIT,900860606,Cría de ganado porcino,Procesamiento y conservación de carne y productos cárnicos,Transporte de carga por carretera,,MEDIANA,VALLE DEL CAUCA,CARTAGO,CR 5 NORTE NRO. 16B-,niif.scf@gmail.com,HERRERA VALENCIA CARLOS ANDRES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-02-10,M.P GALAGRO S.A.S.,NIT,811046781,Comercio al por mayor de productos químicos básicos cauchos y plásticos en formas primarias y productos químicos de uso agropecuario,,,,MEDIANA,ANTIOQUIA,STA ROSA DE OSOS,CALLE 31  29  21,gagudelou@tierragro.co jocampov@tierragro.co,ANTONIO JOSE PEREZ TORO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-03-17,CONSTRUCTORA EL TESORO DORADO S.A.S,NIT,901064499,Actividades inmobiliarias realizadas con bienes propios o arrendados,Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,Demolición,Construcción de edificios no residenciales,MEDIANA,SANTANDER,BUCARAMANGA,CALLE 35 # 19 - 41 O,info@constructoratesorodorado.com,QUINTERO GONZALEZ LUIS ALBERTO 
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-06-15,AVICOLA DEL MAGDALENA S.A,NIT,808002473,Cría de aves de corral,Transporte de carga por carretera,,,MEDIANA,BOGOTA,BOGOTA D.C.,AV CALLE 26 # 96 J 6,gerencia@avimasa.com,EDGAR  RAMIREZ MORENO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-07-11,LADRILLERA LOS VADOS S.A.S.,NIT,900988051,Fabricación de materiales de arcilla para la construcción,Comercio al por mayor de materiales de construcción artículos de ferretería pinturas productos de vidrio equipo y materiales de fontanería y calefacción,,,MEDIANA,NORTE DE SANTANDER,LOS PATIOS,KILOMETRO 15 VEREDA ,nohorita74@hotmail.com,BOTIA RODRIGUEZ NOHORA LUZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-11-03,INSTITUTO DE SISTEMA NERVIOSO DE CORDOBA SAS,NIT,901129333,Actividades de hospitales y clínicas con internación,Otras actividades de atención de la salud humana,Actividades de apoyo terapéutico,,MEDIANA,CORDOBA,MONTERIA,CR 3 CALLE 2 Nro.2-8,insnecor@gmail.com,RAMOS MOLINA ANGEL LEONARDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-10-05,SOLUCIONES ADHESIVAS LG S.A.S.,NIT,811023441,Fabricación de formas básicas de plástico,Comercio al por mayor no especializado,,,MEDIANA,ANTIOQUIA,ITAGUI,CL 29 NRO. 40 24,frdiaz@solucionesadhesivas.com,VELASQUEZ ALVAREZ LUIS RAFAEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-06-08,APET INGENIERIA SAS,NIT,901087073,Actividades de ingeniería y otras actividades conexas de consultoría técnica,,,,MEDIANA,BOGOTA,BOGOTA D.C.,DIAGONAL  74 A BIS #,o.galindo@apet-ing.com,OSCAR FABIAN HERNANDEZ PARGA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-10-19,AUTODESK COLOMBIA SAS,NIT,900907123,Estudios de mercado y realización de encuestas de opinión pública,,,,MEDIANA,BOGOTA,BOGOTA D.C.,CRA 11 NO 79-35 P 9,autodesk_colombia@autodesk.com,YANETH ASTRID FLOREZ AMAYA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-04-16,AIR LIQUIDE COLOMBIA ZONA FRANCA SAS,NIT,900839269,Fabricación de sustancias y productos químicos básicos,Suministro de vapor y aire acondicionado,Generación de energía eléctrica,,MEDIANA,CUNDINAMARCA,TOCANCIPA,CR CENTRAL DEL NORTE,maria.neira@airliquide.com,PIERRE MARIE VALTON
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-05-12,COMERCIALIZADORA EL POMAR SAS,NIT,901079315,Cultivo de hortalizas raíces y tubérculos,Comercio al por mayor de productos alimenticios,,,MEDIANA,CUNDINAMARCA,SIBATE,PD LA CONCEPCION PER,comercializadoraelpomar@gmail.com,DIEGO FERNANDO CUESTA PARDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-08-13,AGROAN SAS,NIT,800220696,Comercio al por mayor de productos químicos básicos cauchos y plásticos en formas primarias y productos químicos de uso agropecuario,,,,MEDIANA,CUNDINAMARCA,COTA,AUT MED. KM 3.5 CENT,contabilidad2@agroan.com.co,HERNANDO  ORDOSGOITIA JARABA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-11-02,LA YUNTA S.A.S.,NIT,901129861,Comercio al por mayor de combustibles sólidos líquidos gaseosos y productos conexos,Transporte de carga por carretera,Construcción de carreteras y vías de ferrocarril,Construcción de otras obras de ingeniería civil,MEDIANA,BOYACA,SOGAMOSO,CL 15 Nro. 9A - 55 P,layuntacarbones@gmail.com,LOZANO SILVA JORGE ANDRES
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-07-17,SANAUTOS MOTOR S.A.,NIT,804005049,Comercio de vehículos automotores nuevos,Mantenimiento y reparación de vehículos automotores,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehículos automotores,,MEDIANA,BOGOTA,BOGOTA D.C.,Carrera 34 NO. 19 - ,contabilidad@sanautos.com.co,MARTIN NOVA ESTRADA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-08-05,TRANSTUMACO S.A.S,NIT,900876755,Transporte de pasajeros,Alquiler y arrendamiento de vehículos automotores,,,GRANDE,NARIÑO,TUMACO,CALLE NUEVA CREACION,transtumaco@gmail.com,CAMACHO GARCIA SANDRA LILIANA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-11-10,ALITAS COLOMBIANAS SAS,NIT,900908028,Elaboración de comidas y platos preparados,Expendio a la mesa de comidas preparadas,Arrendamiento de propiedad intelectual y productos similares excepto obras protegidas por derechos de autor,Expendio de bebidas alcohólicas para el consumo dentro del establecimiento,MEDIANA,BOGOTA,BOGOTA D.C.,CARRERA 22 # 69 - 84,financiro@alitascolombianas.com.co,DIOMEDES HERNANDEZ SANABRIA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-05-22,DISTRIBUCIONES SAN ANTONIO SUROESTE ANTIOQUEÑO S.A.S.,NIT,900852531,Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas (alcohólicas y no alcohólicas) o tabaco,,,,MEDIANA,ANTIOQUIA,BOLIVAR,CALLE 49  47 B 79,auxcontabilidadsanantonio@gmail.com duv2007@hotmail.com,DORIS  URREGO VARGAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-07-06,AREA URBANA CONSTRUCTORA SAS,NIT,900991342,Actividades de arquitectura,Construcción de edificios residenciales,Actividades de ingeniería y otras actividades conexas de consultoría técnica,Otras actividades profesionales científicas y técnicas n.c.p.,MEDIANA,CUNDINAMARCA,CHIA,CL 10 NO. 12 51 OF 2,areaurbanaconstructora@gmail.com,BALLESTEROS GOMEZ LUIS FERNANDO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-11-25,CLANES VEINTI22 SAS,NIT,900912973,Comercio al por menor de combustible para automotores,Actividades inmobiliarias realizadas con bienes propios o arrendados,Comercio al por menor de lubricantes (aceites grasas) aditivos y productos de limpieza para vehículos automotores,,GRANDE,CAUCA,POPAYAN,CL 5 26 39,santelepop@yahoo.es,GONZALEZ MEJIA NESTOR
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-08-12,MOBILIARIO EXPRESS S.A.S,NIT,900338239,Fabricación de muebles,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,Tratamiento y revestimiento de metales mecanizado,,MEDIANA,ANTIOQUIA,GUARNE,VDA 034 BERRACAL PAR,administracion@mobiliarioexpress.com,JARAMILLO GOMEZ JUAN LUIS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-08-30,METALES Y PROCESOS DEL ORIENTE S.A,NIT,826002803,Industrias básicas de hierro y de acero,,,,MEDIANA,BOYACA,DUITAMA,CIUDADELA INDUSTRIAL,gerenciaadministrativa@mepsa.com.co,SANCHEZ PACHECO MARCO FIDEL
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-01-22,ACCEDO SANTANDER SAS,NIT,900928341,Otras actividades de servicio de apoyo a las empresas n.c.p.,Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,Actividades de agencias de cobranza y oficinas de calificación crediticia,Actividades de centros de llamadas (call center),MEDIANA,SANTANDER,FLORIDABLANCA,KM  3981   ANILLO VI,andrea.estrada@accedotech.com,GADEA TINOCO FEDERICO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-10-11,MABEIN S.A.S.,NIT,901017185,Otras actividades de servicio de apoyo a las empresas n.c.p.,Comercio al por mayor no especializado,Actividades combinadas de apoyo a instalaciones,Transporte de carga por carretera,MEDIANA,NORTE DE SANTANDER,CUCUTA,CLL 0B NRO. 7B-85,sasmabein@gmail.com,PEÑA GALVIS LEYDI BEATRIZ
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-02-14,INTISALUD IPS S.A.S.,NIT,900073356,Actividades de hospitales y clínicas con internación,Otras actividades de atención de la salud humana,Comercio al por menor de productos farmacéuticos y medicinales cosméticos y artículos de tocador en establecimientos especializados,,GRANDE,ANTIOQUIA,MEDELLIN,CALLE 24  43 G 24,briseida@intisalud.com,BRISEIDA  SANCHEZ CASTAÑO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-05-17,CORAME ASOCIADOS S.A.S.,NIT,901081865,Extracción de piedra arena arcillas comunes yeso y anhidrita,Comercio al por mayor de materiales de construcción artículos de ferretería pinturas productos de vidrio equipo y materiales de fontanería y calefacción,,,MEDIANA,CUNDINAMARCA,CHOCONTA,VRD RETIRO DE BLANCO,corameycia@hotmail.com,FRANCISCO ANDRES RAMIREZ CASTAÑO
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-09-21,CONCESIONARIA NUEVA VIA AL MAR S.A.S.,NIT,900809931,Construcción de carreteras y vías de ferrocarril,,,,GRANDE,VALLE DEL CAUCA,CALI,CL 10 # 4 - 47,informacion@covimar.com.co,ADRIANA VICTORIA FAWCETT VARGAS
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2017-08-29,DIAKONOS SAS,NIT,901109893,Comercio al por menor de combustible para automotores,Comercio al por menor de lubricantes (aceites grasas) aditivos y productos de limpieza para vehículos automotores,Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos bebidas (alcohólicas y no alcohólicas) o tabaco,Comercio al por mayor a cambio de una retribución o por contrata,MEDIANA,BOGOTA,BOGOTA D.C.,CAR. 7 # 39-45,diakonossas@gmail.com,DILIA MARITZA PEREZ URRUTIA
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2015-11-06,TRANSPORTE COLOMBIANO DE CARGAS S.A.S.,NIT,900906497,Transporte mixto,Transporte de carga por carretera,,,MEDIANA,CUNDINAMARCA,MADRID,KM 1 8 VIA MADRID - ,contador@codegascolombia.com,PINZON CARDONA YHON FREDY
Persona Jurídica,SOCIEDAD ó PERSONA JURIDICA PRINCIPAL ó ESAL,2016-11-15,PROMOTORA JARDINES DEL CARMEN S.A.S.,NIT,901026658,Actividades inmobiliarias realizadas con bienes propios o arrendados,,,,MEDIANA,ANTIOQUIA,MEDELLIN,CALLE 14  40 A 173,bemsa@bemsa.com.co,CAMILO  ECHAVARRIA NOREÑA
